2009,LV PXXGC,"2.0 litre, 2.0L DURATEC I4 16v DOHC MPFI {107KW}","06/08~06/11,4D,Hatch,FWD,AT/MT,[GERMANY],"
2009,LV PXXGC,"2.5 litre, B5254T I5 20v DOHC VVT Turbo MPFI {166KW}","06/08~06/11,XR5 TURBO,4D,Hatch,FWD,MT,[GERMANY],"
2009,LV TXXMJ,"2.0 litre, A0DA I4 16v DOHC MPFI {107KW}","04/09~06/11,4D,Sedan,FWD,AT/MT,[SOUTH AFRICA],"
2009,LV UXXMJ,"2.0 litre, DIESEL, D4204T I4 16v DOHC Turbo CRD {100KW}","07/07~06/11,TDCi,4D,Hatch,FWD,MT/DCT,[SOUTH AFRICA],"
2009,LV UXXMJ,"2.0 litre, A0DA I4 16v DOHC MPFI {107KW}","04/09~06/11,4D,Hatch,FWD,AT/MT,[SOUTH AFRICA],"
2008,LS 3XXGC,"2.5 litre, B5254T I5 20v DOHC VVT Turbo MPFI {166KW}","04/06~05/08,ST TURBO,2D,Hatch,FWD,MT,[GERMANY],"
2008,LS 5XXGC,"2.5 litre, HYDA (B5254T) I5 20v DOHC VVT Turbo MPFI {166KW}","04/06~05/08,XR5 TURBO,4D,Hatch,FWD,MT,[GERMANY],"
2008,LS CXXMJ,"2.0 litre, 2.0L DURATEC I4 16v DOHC MPFI {107KW}","05/05~03/09,4D,Sedan,FWD,AT/MT,[SOUTH AFRICA],"
2008,LS DXXMJ,"2.0 litre, 2.0L DURATEC I4 16v DOHC MPFI {107KW}","05/05~03/09,4D,Hatch,FWD,AT/MT,[SOUTH AFRICA],"
2008,LT 3XXGC,"2.5 litre, B5254T I5 20v DOHC VVT Turbo MPFI {166KW}","04/06~05/08,ST TURBO,2D,Hatch,FWD,MT,[GERMANY],"
2008,LT 5XXGC,"2.5 litre, HYDA (B5254T) I5 20v DOHC VVT Turbo MPFI {166KW}","04/06~05/08,XR5 TURBO,4D,Hatch,FWD,MT,[GERMANY],"
2008,LT CXXMJ,"2.0 litre, 2.0L DURATEC I4 16v DOHC MPFI {107KW}","05/05~03/09,4D,Sedan,FWD,AT/MT,[SOUTH AFRICA],"
